,accuser_username,subtweet_evidence,subtweet_evidence_id,subtweeter_username,alleged_subtweet,alleged_subtweet_id
0,yousuckxharlie,@willhefallagain is this subtweet...for me...,975883377600479232,willhefallagain,ur throat wouldn't be feeling so dry if u didn't deepthroat satan's fire cock,975883203503370242
1,DontFuckUp2k17,@pigeoncrap Oooooooh shit I love knowing what a subtweet is about,975882818818469889,pigeoncrap,i love making posts about How Bad Men Are so that i will receive praise and recognition for Not Being A Bad Man,975873150578671616
2,conorsen,@DanielYRubin @IvanTheK Here’s my subtweet: https://t.co/UYzLyW6yi7,975881026298814464,IvanTheK,How vested is Sandberg in her $FB stock. This could be a good time for a CEO recruiter to make a move.,975863114695692288
3,ssodagirl,@books_on_mars subtweet abt me???,975880570910654464,books_on_mars,"Hearing non-south African (or African in general) people pronounce ""rooibos"" will always be funny to me",975874900404592640
4,slace,@JenMsft @VirtualScooley Or maybe it's just a really obscure subtweet 😮,975879855538544640,VirtualScooley,Weird.  I haven't seen this one.  I'll ask around tomorrow.,975565423331614720
5,butc_h,@breadvii this is so damn vague i don’t know to like it or get mad at the subtweet,975867041424044032,breadvii,You could throw curve balls but I got the glove fitted,975699081459740672
6,LilMonsterAvila,@whoreicio A subtweet.,975865864061820928,whoreicio,Eww I had to follow Robbie back after blocking me for caring about his well-being,975850937435566081
7,KyleWinkel,@TMillgard @regansayre You're not convincing me that you don't subtweet too much...,975860582179012608,TMillgard,Stop acting like I'm so fragile I couldn't even almost give a fuck about anyone or anything,975778481098371073
8,Ridnarhtim,@Neonphile @Mahounasu @jacksfilms Will he catch this subtweet?,975856967355977728,jacksfilms,"HONEST QUESTION: Which of the following sentences is grammatically correct? (poll below)
1 out of 10 adults...",975834657764753408
9,JoshuaSweetXYZ,"@KEthePE Way to subtweet me, sir. 😂 lol",975856610953265154,KEthePE,"People, generally speaking, need to do less general speaking.",975822806666678277
10,ygsiete,@whitpay42 Not really a subtweet if you mention my name lololol,975849695238148101,whitpay42,Manny really got the worst taste.,975849478933630976
11,IThinkImHighMan,@3loveusa Good subtweet,975848532832899074,3loveusa,"مؤمن بان سليمان يستخدم الجن ومستكثر على العريفي يشغلهم خدامات
الخرافة واحدة ياتكفر فيها او تؤمن فيها",975847937963118592
12,MC_Spacebat,@DealerMask is this a subtweet,975847150939787265,DealerMask,"Gonna start a journal of not eating bread called:

NoBread.

*not affiliated with no fap*",974852134440087553
13,sbagley,"@guybranum You are a champion -- nay, an icon -- of the art of the sassy subtweet.",975843618077511680,guybranum,Some men are great champions of women (or gays) until you point out that THEIR clubhouse still has a “No Girls (or fags)” sign on it.,975814951267844097
14,yukei2k,@xcalany @greyborndevil weisst du was ein subtweet ist ... smh,975842940189921280,greyborndevil,weiße haare sind zweifellos eine sucht,975678245453561856
