,accuser_username,subtweet_evidence,subtweet_evidence_id,subtweeter_username,alleged_subtweet,alleged_subtweet_id
0,ericcckk_,@NAN3_69 Isn’t that a subtweet?,966822533998751746,NAN3_69,Y’all ever feel like a tweet is directed towards you but at the same time not?,966821753803722752
1,lharencrully,@Trillip_Larkin Is it a subtweet if you name someone? 🤔 What can I say I love it but actually thought it was a slig… https://t.co/T1dSPT0c0W,966822370160926720,Trillip_Larkin,There is only one thing I believe and that is; unless you are a red-tailed hawk your name should not be Tobias,966815361764032514
2,thomas_amandaa,@RayMyGuy Don't eat gross sushi!! #subtweet,966822212333432833,RayMyGuy,Don’t tell me sushi is gross. It’s delicious and I don’t need your negativity. Lol,966822056330514432
3,ParrtyCat,@rrkaplan Don't subtweet me like this,966821833155731457,rrkaplan,the marvelous mrs. thoroughly modern millie bobby brown,966790481387470851
4,DocEgonSpengler,@pourmecoffee Yo did you just subtweet Iron Man 2?,966821743167000576,pourmecoffee,Manafort To Cooperate If He Can Keep His Birds In Prison,966805015280177152
5,megrottenborn,@7rottenborn You’re really gonna subtweet Mom like that,966819464833462272,7rottenborn,if you turn down the volume while I’m vibing to a good song then I want you out of my car,966790018151759872
6,max16__,@nicky_wallyz Why I feel this is a subtweet for someone 😂,966818796844584960,nicky_wallyz,It’s a damn shame someone has to die for you to have things and go places 😂😂🤪🤪🤪🤪🤪🤪,966477595108921346
7,amandaep916,@JELee533 oh...is this a subtweet @ me,966815757152718848,JELee533,People who arrive to the airport more than an hour early — why.,966811508721311744
8,cononor,@unsafe_Havynne Don't subtweet me,966813313047973893,unsafe_Havynne,Gotta find new people to send memes to now,966812917357273090
9,smmermarina,@dadwya first u subtweet me and then u steal my meme smh,966808318521028609,dadwya,y'all really buy those camo pants from zumiez and think y'all hot shit huh,966797598446120960
10,morganjrice,@Clitor_Chris @notmikeydavis Really not here to subtweet anyone lol just stating my opinion on a band that i literally idolize-that’s all!,966807513935970304,notmikeydavis,Remember when Underoath made a huge deal about having a final tour ever,966792165996113920
11,rachie_claire,@edotwoods lolll i was like i didnt even say anything worthy of a subtweet! i often do but not this time!,966807169164341248,edotwoods,"We're not worried about things being over for us, all things considered😘
- us hoes",966806795766267904
12,verbaliza,@nik_bobbies This is the way the world ends. Not with a bang but with a subtweet.,966806263605547008,nik_bobbies,Australian writers drama the most ridiculous but addictive part of Twitter,966607884921356290
13,DrPatariro,@catmancatman864 @puptriton Is this a subtweet to @russelltovey?,966803463878467584,puptriton,Send me your favorite pornos. I’m horny,966801362725101568
14,OfMiceAndTabi,"@Baedenmyler Listen I don’t subtweet you, @ me",966800568080531456,Baedenmyler,I hate when someone usurps your #1 spot on Snapchat and ruins the heart and you're not even their #1,966783249883238405
15,angelviladiu,@cardibry @melissaserrrano she’s too grown to subtweet 🤷🏻‍♂️,966798448379875328,melissaserrrano,Have you ever told someone you loved them and they said “thanks” bc frick,966563836651171840
