,accuser_username,subtweet_evidence,subtweet_evidence_id,subtweeter_username,alleged_subtweet,alleged_subtweet_id
0,blesstheautumn,@merphed Ain't nobody mad at you bruh but this is your second subtweet so,960301803295395840,merphed,Currently getting people mad at me for stating my opinion,960301500118568962
1,John_Faker,@RobertZeglinski thank you for the subtweet,960296648718127104,RobertZeglinski,Wow can’t believe Nick Foles can’t handle the Patriots who had two weeks to prepare.,960295965189124096
2,andresitoo__17,"@Jaanellee_A Instead of worrying about what I rt or subtweet, you should focus on Luis and block me. Get over yours… https://t.co/kuq481ag20",960290334419939328,Jaanellee_A,"If we in a relationship and I give you everything but you give me shit in return, don’t be surprised when I find someone better 😂😂",960204867590606851
3,FuckDetroit,@yettibandz Is this a subtweet to yourself?,960288423251791878,yettibandz,I wanna beat da sad out dis bitch,960256631882821635
4,hollyjustjolly,@Juliemar17 Is this a subtweet about Kylie Jenner releasing her baby announcement 3 days after her baby!,960287708538130432,Juliemar17,When the people who are supposed to make you feel better just push you lower 🙂,960274213566320647
5,dyslexio,@Lalnation Sorry thought it was a subtweet,960278431077490688,Lalnation,Imagine being self-confident enough to buy a ladder.,960275493911187457
6,spiceytherobot,@RealYungCripp I found the subtweet,960276885480513536,RealYungCripp,I love when girls wear chokers because I like having a clear indicator that they have a daddy kink and love facials,960276707604299781
7,GruM_fgt,@iiVoid @kingdingah Is this a subtweet,960276431627522053,kingdingah,"how to get good at tf2
1: get a medic fuckbuddy to shovel crits down your thoat
2: done",960229493804879873
8,turing_police,@HoesamaBinLaden this is the first subtweet about “fake friends” i have ever seen an adult make,960271979847737344,HoesamaBinLaden,lotta people will pretend to be your friend until you refuse to convert to their tendency,960239453045510144
9,relatablegoose,@Jewzak don't subtweet me,960271837916643328,Jewzak,Half of your mcm's personality him bragging about how little he knows about the Kardashians,960271236596207618
10,IvanJuguilon,@narduchita Don’t wann fall inlove on a subtweet,960270495915565056,narduchita,Ok now I wanna fall in love,960270274540294144
11,TheM_L_G,@55thVin @unfitforpurpose It’s literally a subtweet of the entire media industry.,960268498328014848,unfitforpurpose,At some point we need to talk about Caley and Goodman just outright ripping of Yorke's crisis Baton.,942144444349984768
12,55thVin,@TheM_L_G @unfitforpurpose is this a grant wahl subtweet,960268338399203328,unfitforpurpose,At some point we need to talk about Caley and Goodman just outright ripping of Yorke's crisis Baton.,942144444349984768
13,toodrunk2flux,@Frayed_Nets Nice subtweet wuey,960265533466796033,Frayed_Nets,Just landed in Chicago after doing circles over Indiana in a holding pattern because of snow ❄️,960243614927507456
14,ashulman_RS,@patrickcarr_ Is this a subtweet...,960262722729291776,patrickcarr_,Personally I don't like the Kitty Halftime Show. Get back to the action! #puppybowl,960257527307935744
15,MrsFiveO,"@legallybae When people block me, I always block them back so they cant subtweet or target me. 
Maybe creepy guy is… https://t.co/InvpcgHAwu",960260913520508929,legallybae,I blocked a creepy guy and he blocked me back lol um... I don't want to see your tweets that's the whole point lol how petty,960257449130446848
16,karinaxhanks,@lilkeems yeah u subtweet him hunny,960256699268349952,lilkeems,lmfao u gunna get cut off wit all this inconsistency,960256569010040832
17,ARMZAaron,@jaboukie Did you just basically subtweet me.,960253522099892224,jaboukie,everyday i strive to be as brave as a cis straight white dude with nail polish on his thumb,960250489290989568
18,FLJackieDaniels,@actualkilljoy @CodyIsShy @ahotamguy when u subtweet &amp; they don’t notice,960251484121239552,actualkilljoy,anytime someone tells me how fucked up my teeth are i wanna kill myself lol 🙃,960213285445521409
19,AhmedSiddikey,@KashmiriChai Is this a subtweet for me?,960246416697384960,KashmiriChai,I love my friends even though they are illiterate.,960246079966105600
