,accuser_username,subtweet_evidence,subtweet_evidence_id,subtweeter_username,alleged_subtweet,alleged_subtweet_id
0,aloofAbacus,@hexedmagica is this a subtweet,967909407714455552,hexedmagica,I feel like the people I know have just slowly devolved into more and more nonsense,967607625004171264
1,WildcatOil,"@pipefitter34 What if I comment on a subtweet?

What if it's a subtweet about subtweeting?",967904119359864832,pipefitter34,Subtweeting is a good way to hit a shit list.  🤦🏼‍♂️,967900986772676608
2,abbeyottinger,@MichaelG428 how dare you subtweet me,967903087275933696,MichaelG428,I’m about to go eat two boxes of thin mints. Enjoy your diets everyone,967890598614138880
3,dolcebella68,@_kirstenalyssa Is this a subtweet?? 😂😂,967902203087282176,_kirstenalyssa,Subtweeting is hilarious. Why don’t you just tag the person(s). 🤷🏻‍♀️😂,967901725930631168
4,lukeisamazing,@socialistdogmom @ggooooddddoogg It's not a subtweet when's it's about me,967900854056398848,ggooooddddoogg,RTing your own tweets is “self care”,967899231657910272
5,socialistdogmom,@lukeisamazing @ggooooddddoogg don't subtweet me like this.,967900648753844229,ggooooddddoogg,RTing your own tweets is “self care”,967899231657910272
6,Enichan,@Worthless_Bums Is this a subtweet,967887027873222656,Worthless_Bums,"Your reminder that for archival purposes emulation is likely the way forward.

Not that source will hurt any efforts.",967886614524518400
7,Erik8803,@WhiskyDNA the subtweet,967886923363741696,WhiskyDNA,I can go even against a top player but also go even against a button masher 🙃🔫,967885495748276224
8,AlaAla2203,"@maruaomn Guuurl, who you shadin’ with that subtweet? 🤔",967886546388094977,maruaomn,You don’t even deserve one second of my time,967886371489812480
9,vlstheamateur,"@linaamoo i know it's not haha i just thought it was weird, i don't think anyone could subtweet at me im a lil angel i do no wrong",967886507410255873,linaamoo,keep hating. keep being insecure bby. just do it over there.,967762492960096256
10,Gniw_EmMaWi,@mados_oldtwit Is this a subtweet bc I wanted to do hot yoga??,967885428102746112,mados_oldtwit,People are so selfish and mean. It is so unnerving.,967880505864712192
11,starisfilth,@saothegoat Didnt catch this subtweet your highness my apologies,967882971872157696,saothegoat,i think starisfilth is the most underrated account on here,967634853872062464
12,megashleybaker,@lainebeaton did you just subtweet me,967880030847152130,lainebeaton,how do some people go on vacation for one week and get more of a tan than i do all summer,967869074616344578
13,MayorofWakanda,@deray Another subtweet lol,967878538190839808,deray,"another day, another podcast studio/production nightmare. no fun.",967877859502182401
14,phuoct_,@meesalara Wow if you’re gonna subtweet me be more subtle next time,967875879916396544,meesalara,i really can’t stand fake people smh,967690653105668096
15,maltyhops,@ConnorSouthard please don’t subtweet @jon_bois,967875319184220160,ConnorSouthard,My absolute least favorite thing on here is when you see some absolute fucking ghoul using images from Calvin and Hobbes,967601032682508290
16,danabslh,@Jill182 Is this a subtweet at Sam?,967872247737257986,Jill182,U ever meet a shitty person and know immediately that they voted for Trump,967846888182636544
17,merrick7,@Colinchamp HAHAHAHA this is a direct subtweet @ me flying around like an idiot,967865378440347648,Colinchamp,Went to Tomo last night. Now i remember why i don’t want a girlfriend,967807823852826626
18,ditakacs13,@andrew_kist Hahahahaha I feel like this is a slight subtweet,967861679768965121,andrew_kist,Every dorm in America has at least one ukulele kid,967833228731174914
19,AaliyahJhane,@vintagegvld 😂😂 I know 😂😂😂 that’s why I’m laughing.  subtweet headass,967859916361949185,vintagegvld,"My friends be on the go DR, Canada, Miami like BITCH IM POOR",967823059750195201
20,big_nonsense,@paigemmmmm wow subtweet much,967857576561008645,paigemmmmm,boycott every song w lyrics about not eating pussy tbh,967857449372995587
21,DazerGG,@Pikarinoo cool subtweet,967852990420877312,Pikarinoo,I want to thank dazers he bo jungle and the enemy team for throwing a 100% won game for breaking my 7 games ranked losestreak,967757193369083904
22,ideal2320,@nelliedlich subtweet an mich,967852274495250437,nelliedlich,Irgendwann muss man einfach aufhören sich selbst zu bemitleiden und das beste ausm leben zu machen,967851388020682755
23,Athineos,@MICKJ24 sounds more like Pisces... they’ll cry over a subtweet.,967850906153836545,MICKJ24,"If you're a Cancer, please don't cry reading this tweet.",967760626045956096
24,kedwards_99,@averyburgreen Thanks for the subtweet bby 😘😘😘 thought my friends cared ab me but found out you don't,967849235923300352,averyburgreen,man some people get so hurt when they find out the world don’t revolve around them,967833644516683778
25,limit_breakr,"@valveillen Oh god, this is a whole nother subtweet entirely but lemme just say: YUPPPPPP. 💅 On the positive side,… https://t.co/RUIj3BkfJS",967848954896396288,valveillen,"Yes I am petty but I wish people would tag bottom/top/switching in fics.

I wish I didn't care but bottom Hux has been ruined for me, sorry.",967807963103670272
26,CherryGuts,@AuxKraut oof the level of subtweet,967848374094434304,AuxKraut,"Trannies putting ""she/her"" in their bio is the equivalent of Jews saying ""fellow white people""",967588863102324736
27,gregfahlgren,@shylajdotcom ...is this a subtweet? I cant tell... And I'm not sure if I want to know.,967842579952951296,shylajdotcom,"Karmas a fuckin bitch. You can’t preach love &amp; peace, but do hateful things and expect the universe to reward you.",967841619281174528
28,Plain_Jason,@ScarletPolice Don't subtweet me,967837415607099394,ScarletPolice,some profiles just make me wanna puke,967837311181324288
29,RafayeSheikh,@mrcommoncents Is this a subtweet @ your nephews,967837080624746496,mrcommoncents,closed mouths don’t get fed,967832185091821574
30,nikechris3,@TheRealMarksaur don’t subtweet us,967835189442314241,TheRealMarksaur,People be looking like they're going to church with their dress shirts but actually heading to bottomless instead.,967834751271804928
31,chaykak,@cnqmdi I hope this is a subtweet of that stupid sculpture,967832486012162050,cnqmdi,"if you read carefully, you will find that my essays have not one perspective but two. boom!",967831872297369600
32,Dishywish,@bionicleshentai I can't tell what's a subtweet and what's not anymore aaaaa,967831121160491008,bionicleshentai,That's how it is on this bitch of an earth,967830652820144128
33,LosferWords,@EvangelineLilly I'm fairly certain there's a hidden homonym subtext/subtweet joke about Old Toby in your tweet. To… https://t.co/HitgMrDhkl,967830126565216257,EvangelineLilly,"You know you’re a huge fan when you try to type the word ‘token’ and it comes out ‘Tolkien’. 😬 

#Tolkien",967828162775101440
34,LewVian,@TeePeeM8 Come on now you know my @ now no need to subtweet 😘,967826338580230146,TeePeeM8,"Lew is one of the most annoying people of all time. He makes fun of depression and said that ""Bipolar Depression isn't real""",967825410477223937
35,GenXtremist,@Royal_RannaAnna I don't know what that term means...I'll assume this subtweet is for someone else. Heh.,967824334889914369,Royal_RannaAnna,"Here, let me help you: Don’t be a fuck boy.
No, you’re welcome.",967823879547883520
36,MrCarlson91,@peacelovesal I do NOT appreciate the subtweet,967823678137360390,peacelovesal,"Don't know what's more annoying, you always flaking on me or me always forgiving you? 🙄🙄",967212808936087552
37,lexispaige97,@2muchwhit2quit It’s 2018 my love take your subtweet to your house and talk it out.,967815827096526848,2muchwhit2quit,i hate when people treat going to church with me like a sightseeing adventure,967773572834955266
38,alyssarice_,@_raven_14 @ruizzzz88 It’s obviously a subtweet hahahahaha,967813777667346433,ruizzzz88,because u send emojis and i send them back,967609012043829248
39,MegaSock,@Cadyso Don’t subtweet me bitxh,967804472012476416,Cadyso,I dont like being farted on. no thx,967802294397034496
40,CleTribeGirl,@hnb6458 I legit thought this was a subtweet lmao,967802237719339014,hnb6458,Same lips that be talkin bout me is the same lips that be ass kissin,967800305709735936
41,Allpros_ralph,@ITS_DRAY Lol don’t subtweet me,967800455081361408,ITS_DRAY,You can’t fight 😭😭,967800361842020352
42,FatherOni,@jonahanom Had to see if you’d subtweet your love for me,967798562825191425,jonahanom,I’m staring at you sleeping and I can’t seem to bring myself to words.,967787425928851456
43,KeepCalmJustin,@sarahchad_ YAS kween subtweet that pos POTUS,967793799287201792,sarahchad_,"Donald, if you’re only going to listen to one thing I say I’m begging it to be this, ARMING TEACHERS IS AN IDIOTIC IDEA.",967625154187624448
44,TSNorman_author,"@WordWiseAlice Damn, now THAT is a subtweet!",967785243896725505,WordWiseAlice,"By the way, I fucking hate you and bullet holes to your face wouldn't even make me feel better",967785010458750976
45,Kam_geez,@Novition That subtweet tho,967777122575114240,Novition,Posting A Pic Of Yourself In Your Bra And Underwear Isn’t Cute. Just Saying Lol.,967600734995959810
46,EFCjojo,@EFC1878_AMF @darren_cronin i smell a subtweet,967769511792431106,EFC1878_AMF,Just die  you pukka pie headed twat,967475846670929921
47,ReclusiveRabi,@CertifiedTrolll Is it a subtweet? 😂,967762832174604289,CertifiedTrolll,لاہور قلندرز کے سپورٹرز نے جس ٹیم کو سپورٹ کیا اسے بھی لے ڈوبے..,967758685966622725
48,eringoering,"@maggiekreifels Ooooh a subtweet. Unless they don’t have Twitter. Then it’s just a tweet, right? People suck.",967760557540544514,maggiekreifels,"I’m a big believer in karma, and I can’t WAIT for your day to come. 🤗 #karmasabitch",967754511262633985
49,bethanybohlen,@TrademarkTricia This is a 5ness subtweet and I know it,967751164526809088,TrademarkTricia,"The phrase ""catching feelings"" makes me chuckle bc of its language connectedness to the idea of disease. Says a lot about my generation.",967586960956108800
50,frekat16,@DamnRealPosts @MatthewLewallen Is this a subtweet supposed to be @ me?,967750069083570178,DamnRealPosts,Best relationship advice: Don't do anything you wouldn't want your boyfriend/girlfriend to do.,967678610000658434
51,N7Kopper,@ChloeAmagi Is that a subtweet?,967745101811404802,ChloeAmagi,"#masculinity is beautiful. Sharp as a knife, and twice the rush.",967744181178380288
52,chai_bean,@rybaris “ability to subtweet 3 different ways is pretty powerful” JFFJHSHDHD,967741487764029440,rybaris,'vero requires your phone number' GOOD THE FUCK BYE,967711014568411136
53,DadLibertarian,"@Darth_Mommie So do you tell his wife and blow it all up, or just subtweet him? https://t.co/o6MBTDYJAi",967732489501495297,Darth_Mommie,"You POS mother fucker, I've known you and your WIFE since you were kids and I'm seeing your sorry ass on a dating site? Fucking nerve",967594956037787648
54,Bummmie,@darbyari Girl don’t subtweet me,967725232457945088,darbyari,This fine ass dude came to my job &amp; told me i was gorgeous... i thought i was the baddest bitch after he said that 😂😩💓,967567866160648197
