,accuser_username,subtweet_evidence,subtweet_evidence_id,subtweeter_username,alleged_subtweet,alleged_subtweet_id
0,vulpixed,@pennylimes @error_void i did not see this even though it is definitely a subtweet about me but that’s ok bc it’s s… https://t.co/PL5lXv436f,962836860014866433,error_void,look me in the eyes. look at me. there is no such thing as a good poptart,962795752480280576
1,Wolfey13,@no1goesleft Was this a subtweet at me?!?!,962836353212928000,no1goesleft,I dedicated my morning poo to your Skins. #FlyEaglesFly,962678027384770566
2,brian_justie,@moiragweigel if this is a subtweet to a certain podcast.. it’s a good one,962834864637710336,moiragweigel,"cyborg feminist socialism &gt; neoliberal humanism, and always will be",962525760828444673
3,JoshStill_,@vsaintlaurent Is this a damned ass subtweet,962832913380397057,vsaintlaurent,Ironic mustaches as a result of childhood entitlement.,962554361003102209
4,mbaker189,@JoJortega17 love when you subtweet ab me❤️,962831460980928512,JoJortega17,Missin' you the most rn,962805942495694849
5,mgpolo92,@luccylou_ *subtweet*,962829601209806849,luccylou_,Is that fashion or crafty ?,962827205880504320
6,hmir_,"@cire1911th You use to do it when you were single, is this is a subtweet to yourself",962828963021115393,cire1911th,Single ppl shouldn’t be giving out relationship advise. Period,962810177228390400
7,thesiciliansal,@adam8track I dunno isn’t that the purpose of a subtweet haha,962825490170916864,adam8track,When someone says “fuck a 9-5” you just sound like a lazy broke ass BUM to me,960688934287060992
8,stevorito,"@MatthewEPierce behold, the day @TheRichardClark died of a lethal subtweet",962818411108683777,MatthewEPierce,all of my sins are now because of my enneagram number,962816631276699649
9,jessiekaiser,@subsahaaron don't subtweet me like this,962817776846024704,subsahaaron,“She’s a moron in a deeper sense.”,962816077162889216
10,aholllley,@autumnsfisher subtweet,962814538537144320,autumnsfisher,I love everything in my life right now,962812776816181248
11,Eustacebaaaang,@mehravarr Stop subtweet me mehravar bc,962811751371890689,mehravarr,HAHAHAHAHAHA I C AN’T BREATHE,962775124981223424
12,NikeSlidesGuy,@ilikefakegucci @Anna1derlin A subtweet smh,962804245740302337,Anna1derlin,Smh half the people I know have a broken hand/arm right now. What y’all doin?!,962802722356514817
13,moistershiggyy,@haltsmauljetzt @_kaddah_ subtweet,962801174809337856,haltsmauljetzt,Du siehst nicht süß aus sondern Scheisse,962801028084174851
14,kromeq,@trustywusty A subtweet that targets 60% of furries. Nice,962796878671896576,trustywusty,"LOOK AT MY BUFF CHARACTER HE'S HOT

*HUGE BUBBLE-ASS LOOLING MUSCLES, SHITTY ANATOMY, TINT PEANUT HEAD, MAGNUM DONG, 12 PACK*",962796740821864448
15,gordihyena,@HansFaffing This is a subtweet,962795322899554304,HansFaffing,When people tell you they’re good at sucking cock but don’t prove it to you ???,962793507592142848
16,incelkiller,@MiKeyyy328 ist das subtweet an mich :(,962795036529319937,MiKeyyy328,Lachkick wenn Leute die ganze Zeit Kommunismus xD nachlabern und dann richtig komische Ergebnisse bei Politikkompässen bekommen,962794539965698048
17,disqueoh_,@devihicks idc who this was about this is a subtweet @ me https://t.co/4zBEAZ9GmW,962789814046109696,devihicks,“aww my dogs pooping! she’s cute when she does /everything/“,962479202304864256
18,lex_hoff11,@kousley7 Did you just subtweet me,962788249105084416,kousley7,I’m so thankful for my amazing best friends! ♥️,962766969853259777
19,Bcwieds,@danielleeliax is this a subtweet pls don't REMIND ME,962783916770906114,danielleeliax,"I leave Florida next week, I’m so sad.",962712674042875904
