,accuser_username,subtweet_evidence,subtweet_evidence_id,subtweeter_username,alleged_subtweet,alleged_subtweet_id
0,stuffKRISwrites,"@IsaacLagarda Is this, as the kids call it, a “subtweet”?",963559875551879170,IsaacLagarda,*D E L E T E *,963557342653464576
1,DonBanh,@CotyBrooke subtle subtweet,963555502172012545,CotyBrooke,I hate getting stuffed animals as gifts. I never know what to do with them like a week later.,963550717184299008
2,KenMcAlpine,@andypbray Is this your first ever subtweet?,963552531342241792,andypbray,"Live by the sword, die by the sword",963550990937899008
3,brydenouement,@alicnocks #subtweet is this regarding me not giving you index placement in a timely fashion bc FORGIVE ME IT'S NOT HEART SURGERY,963552302857703426,alicnocks,something i love is when people don’t do their jobs,963531173828972545
4,goldenrae9,@kbschroedy My first real subtweet.  I'm so now.,963552148054269952,kbschroedy,My roommate has been secretly watching Queer Eye behind my back and honestly I am so hurt.,963550830082379776
5,gamesEnlisted,@THPIsland @FlamingClaw Even when I never subtweet someone I get subtweeted,963552116034949121,FlamingClaw,can't wait for all the ladies to 'fess up to me tomorrow tbh,963543370005123072
6,tpreopelle,"@AustinLee4423 ""I mean you must care because you subtweet everything I do"" exactly what you said in you're message… https://t.co/bRw5E9QPYn",963550826064068608,AustinLee4423,You worry about my life &amp; what I do more then I do myself 😂 but whatever floats your boat,963240087357026305
7,Garbaggio_,@RaePogue Assuming every subtweet is about me forever,963550491765592066,RaePogue,I thought you used to be mature? 🤔,963465747602333696
8,natez0r,@beamjack subtweet!,963546817316171776,beamjack,Move fast and half bake things,963457213514723328
9,Sw33tCh377yPi3,@NightCatArts Is it me? Is Barbara my code name when you subtweet me? I feel like it's me.,963545307383558144,NightCatArts,"It's #InternetFriendsDay, so big thanks to the only friends I've got. Don't ever visit me though, Barbara.",963537226457116674
10,s_t_a_l_ker,@Nambaa_ i feel like this is a subtweet of me is it?,963544351975538688,Nambaa_,"Fart niggas be like ""I've run out of things to tweet about and I'm losing followers after an extremely good month of twitter growth""",963543671831396354
11,justagirl218,@Bigbadw62921969 Nice subtweet 😂,963543357334188033,Bigbadw62921969,"This is me, seeking permission to enter your DM....or you could just pop into mine😏",963534408752906240
12,leoinoakland,@lukeoneil47 Why you gotta subtweet @DJeanMustard like that,963542845624762368,lukeoneil47,"Ah fuck, made brunch plans with my friend the neo-Nazi again. Can’t avoid it.",963538890194931712
13,OhFears,@imowoto I've never gotten a subtweet,963541500289220608,imowoto,why is everyone like super popular ad well known and always get sub tweets then im just existing,963453719458254851
14,MIKEMISAKI_97,@TheWarden__ lowkey a subtweet.. 👀,963539066930176000,TheWarden__,Today Apple Music decided to randomly delete one my playlists 😒 I’m so done with them,963504896426369024
15,semenstain,@burynice is this a subtweet,963538226400161792,burynice,why does nobody do anything other than drink and watch tv shows,963537193015894016
16,she_kiannaaa,"@Drethetruth14 “Grown women”, lmao why  didn’t u just say me 😂 Weak ass subtweet 💀",963533657813106688,Drethetruth14,Grown women still out here watching Drake &amp; Josh 🤦🏾‍♂️,963509233164668928
17,_pepke_,@Ian_thomasss You seriously gonna subtweet me? Your roommate? Grow up man,963533268938317826,Ian_thomasss,I’m sorry I have to be that guy that tweets this...but people are so fucked up and selfish! Whatever happened to selflessness?,963531076974055425
18,lanadelmaggs,@jaeee_johnson jae i feel like this is a subtweet and if i did that i would be 500 lbs,963529751477530629,jaeee_johnson,squad if you’re craving something just fucking eat it and stop living in misery,963495124075466753
19,DrewCrawley63,@ClutteredSkies This a subtweet at a large church in the DFW area?,963529489572646913,ClutteredSkies,", everything I don't like is George Soros",963518681581006848
20,jasevstheworld,@HappyCigarettes is this a subtweet over the me not being bi thing?,963526308348166144,HappyCigarettes,can't believe it's not butter but replace 'butter' with 'gay' send tweet,963523201073647616
21,DinhoTheRealest,@UsbaldoS Your fiancé doesn’t have twitter so please don’t subtweet her...,963523694445211648,UsbaldoS,Ladies! What are you getting your mans for Valentines Day? Feel like this day is a little lopsided sometimes.,963444951047536642
22,RuthMarxVEVO,@DGRinMSP @tousleshommes I only got a subtweet,963522357511053312,tousleshommes,apparently everyone is arguing on gay twitter and no one has invited me????,963520606074482688
23,JakeHallman1,@itbemeb_ I @ you cos I’m grown and don’t subtweet nor tweet about problems rarely at all. If you have something to… https://t.co/S91dWDlldN,963519212089167875,itbemeb_,why do girls come after the girl their bf went after when the other girl swerved him &amp; not their own bf 🧐,963514484181651456
24,Nataliex34,@gabbmew @__ksandraaaa @Euterna_ Nah @ least not for this guy. I caught his subtweet then acts like it isn't about… https://t.co/wyrD9q4Ec6,963518525745737728,Euterna_,People on twitter can’t jokes it’s actually sad fucking emotional freaks and you know who u r.,963487870978805763
25,__ksandraaaa,@Nataliex34 @Euterna_ It’s YOURE* PEOPLE* ARE* you idiot. FUCK OUTTA HERE WITH YOUR DUMBASS. Don’t subtweet if you… https://t.co/n8rM3uB55C,963516702154661888,Euterna_,People on twitter can’t jokes it’s actually sad fucking emotional freaks and you know who u r.,963487870978805763
26,Calh0,@sadmonsters Did you just subtweet @steak_umm ?,963515365954408448,sadmonsters,"Republicans: ""Get the government out of our lives!!!! Unless you're poor, in which case, enjoy your Box Meat.""",963512711857475587
27,quantian1,@highermoments don't subtweet me,963515194524753920,highermoments,Having a hard time with the kid. Either everything is too easy or too hard.,963508326255529986
28,ShotPhoenix4,@ctgattuso I can tell this is a subtweet just judging from the fact that the timing is too perfect right after our… https://t.co/6n2SEXuxum,963512406948360197,ctgattuso,Straight guys I swear. You can’t talk about anything related to f/f with them without them being pedantic and needing to “debunk” it.,963503487291072512
29,BriggonSnow,"@elijahnoll You turned me down years ago, @elijahnoll. You don't need to subtweet me if you changed your mind.",963511399736426496,elijahnoll,put me in a dirty space,963510342956568577
30,Ice_Bogus,@m_chael it was an obvious subtweet i never said ur name and i didnt realize i had u tagged but that doesnt mean u… https://t.co/oBVSUJVHUv,963504996972158978,m_chael,I honestly don't like being mean to people but if they don't shut the fuck up like what else is there to do,963498536900923393
31,shutthefucc,@impalas Is this a subtweet,963502643338514437,impalas,lol don't add him back to the chat he left on his own free will,963497070534516736
32,Synge2050,@goredubs I do not appreciate this subtweet also you are gay,963501656150298625,goredubs,smh anyone who thinks flat earth is gaining traction is dumb af.,963466613495300096
33,IsaacRoling,@KristaCalmer Is this a subtweet towards @jaysnumber3,963500013136629760,KristaCalmer,If you don’t use soap.. then you aren’t washing your hands. 😷😷😷,963455898717843456
34,t0ky07,@gvstavorviz How you gonna subtweet me on my busiest day of the week lol,963498067457605632,gvstavorviz,I wonder what Edgar would like for Valentine’s Day,963141654931701760
35,lazearrr,@Qbaker5 Don’t subtweet me like this bro😂,963493975469543430,Qbaker5,A lot of people gon be going out sad tomorrow 😂😂,963485838272319489
36,justg818,@username_caleb This is a subtweet to me.,963490220019732481,username_caleb,i stopped liking/ wasting my time on you when i realized i deserve so much better,963152893762183169
37,shevaitha007,@DakotaSanto Don't subtweet Lamberto like that !!,963485274578833409,DakotaSanto,I love when professors make reviews that cover none of the content that will be on the exam!!!,963475868004900864
38,nw3,@m_delamerced nice subtweet,963478377427501057,m_delamerced,"advice applicable anytime, anywhere: when you’re in a hole, stopping digging",963477359797112832
39,emo2thextremo,@certaintragedy This is a subtweet @ Boston,963476038863982594,certaintragedy,Is everyone booking the same eight bands in Boston and rotating them or does it just look that way to me?,963470977148571648
40,Sindrly,@FIFTHMUSTO this was a dirty ass subtweet lmfao,963473952667525120,FIFTHMUSTO,all curtis does is steal tweets how does he almost have 2k followers,963208461793230848
41,YanMack78,@kaysabato we can both subtweet 😭,963470786836226048,kaysabato,ya “friends” not rlly ya “friends” they talk shit abt you to me 🤪🤪🤪,963470595458519042
42,overcastemily,@Ace_Sam_Warner definitely not trying to subtweet,963463070508044288,Ace_Sam_Warner,My purpose in life is to die,963462852488192001
