,accuser_username,subtweet_evidence,subtweet_evidence_id,subtweeter_username,alleged_subtweet,alleged_subtweet_id
0,iPurrple,@thgreatape445 lol u aint gonna do anything except subtweet him,952688151784509440,thgreatape445,Some bitch is wearing an odell Beckham jersey at a bar we're at,952687961153384455
1,dumbasszoe,@nayeli4prez Learn how to subtweet,952682930572165120,nayeli4prez,i kept taking breaks because of this manga i'm rereading,952682484193374208
2,notjamielerner,@NYhalalking Is this a subtweet about me,952682138696110080,NYhalalking,i am convinced i'm the only good driver in the world,952669500104638465
3,TAFKASirThinks,@MooreOfKaitlyn This appears to be a subtweet https://t.co/TyE7GY2tdO,952682056433262593,MooreOfKaitlyn,"Make an effort, not an excuse.",952681407943409664
4,BobFraust,@DRTYWHTVNS Don’t subtweet me girl.,952675830349619201,DRTYWHTVNS,"people only thin about me, me, me.. nowadays",952654877087404033
5,WehbyJammin,@MoEgger1530 The subtweet game is strong in you,952674761187971073,MoEgger1530,Fun to watch an opposing quarterback go into Heinz Field and not look scared.,952645070871760899
6,plathitude,@tyronem Sick subtweet,952671994021113857,tyronem,"Wishes for tweetdeck:
timing mutes for &lt;x&gt; days/weeks
drag and drop images
right click a phrase to mute",952671834109022208
7,infiniteaviary,@IdahoBones don't subtweet me,952671793319473153,IdahoBones,"guy idling outside his apt in a matte black bmw license plate ""GODKING""",952581215110008837
8,Http_hyd,@Tweetysonnyzz well not with you or anyone its just a subtweet,952671207387811840,Tweetysonnyzz,You just tried starting drama 30 mins ago but whatever,952670599360499713
9,PretendMunchkin,@SingleVixxen this is a subtweet to me...isn't it? 😩🙄,952667309784510464,SingleVixxen,Good morning to everyone except people who RT but don’t hit like.,952567596464910336
10,gianni_mandia,@lillicarey_ You told me and said that you were going to subtweet me,952665762702950401,lillicarey_,Not to be dramatic but shut up,952363842427936768
11,Gemstokes2000,"@PatriciaBTW Pro tip: don’t subtweet fit people, they see it and quote tweet u",952664852581019648,PatriciaBTW,"hope everyone has a good day today, especially to that incredibly FIT girl I saw at the tattoo shop yesterday",952663886963949568
12,gentlemenRich,"@PMuncie I've seen like 300 super bowls. So I'll wake up tomorrow worried about my 401k as per usual. Sweet subtweet, tho.",952661393240723456,PMuncie,Steelers always gonna Steeler. Typical collapse.,952645451278356482
13,jjjooshh,@mezzymonday what subtweet ?,952661309014847489,mezzymonday,*WaIts FoR kAyLa To AnSwEr JoShS sUbTwEeT*,952660876984758272
14,Ashlynshea29,"@ItsJennaRene Okay, bitch, you just gotta ask you don’t gotta subtweet me. Damn.",952659955366146053,ItsJennaRene,I just wanna hang out w my boo sos,952659417140523009
