,accuser_username,subtweet_evidence,subtweet_evidence_id,subtweeter_username,alleged_subtweet,alleged_subtweet_id
0,DownYellowSpam,"@NuggetCrt Literally just @ me next time
This is a subtweet of the highest level, towards a low level peach",953414230027526144,NuggetCrt,"Peach: dash atks, misses follow up
*shakes head*
Gets hit by raptor boost
*shakes head*
Has a successful down smash
*shakes head*",953389342076080133
1,niicolerice5,"@cooksta12 Do you just sit and wait for us to post so you can subtweet? I think you have the problem, I know Boothb… https://t.co/zqGuXY7sve",953413627368869888,cooksta12,I’d say you have a problem if you’re buying “substance test kits” lmaoo,953408563677982722
2,morganryndak,@DNastyRohleder @RohlederWill This a subtweet???,953413459663867904,DNastyRohleder,Yeah sex is great but have you ever started your set right as the song ends?,953403617343692801
3,ashley_chuck,@_jennacottengim Thank u for this subtweet,953412000629084160,_jennacottengim,Some people are so badass and just don’t get enough credit or love,953405258079916032
4,aliceliao26,@vividinhtran why you gotta subtweet me like this,953410914342096896,vividinhtran,i don’t get how girls really pride themselves in not knowing how to cook. like not even cooking for anyone else just yourself,953409307302907904
5,alexmrakowski,@tbrtianna @FinnSiemion Couples who subtweet each other 😩👌🏻,953410022230413313,FinnSiemion,"Leaves me on read🙂 10 minutes later, “hmu”",953399321445232640
6,iinicko,"@melrobbins I like you Mel. You’re one of the most positive people in my TL. 

Yeah, that’s a subtweet, yeah you. Uh huh. 🤫",953408587157536768,melrobbins,Get addicted to the feeling of having your shit together.,952922573842583555
7,_jasmine_jordan,@Ywnscoopp We subtweet still lol 😂🤔,953401551950942208,Ywnscoopp,Just found out my food choices are boring,953151991697563649
8,JoeyChiaramonte,@CloutManCometh @yankeedave421 are you gonna let him subtweet you like that?,953400576791973888,CloutManCometh,Everyone wants to be a tuff guy until you tell em get out the car .. smh,953380277950337024
9,youngmattie7,@brinnstamp You are clearly very immature too since you have to subtweet people.,953399763151572992,brinnstamp,Oh and yes I was judging. Deal with it.,953389485861097473
10,Jonpalll_,@SullyOW_ @_iuya 79.75.220.41 subtweet me again pussy,953398319568642049,SullyOW_,Diamonds fighting on the TL...,953395115845914624
11,czaplatysma,@MarsRavalo What is twitter even for if you cant subtweet? Hahaha,953397397920522240,MarsRavalo,"NO TO SUBTWEETING 2018

haaay why is this so difficult",953375747053252608
12,Jkayser97,@gabriellefewell Bit early for a subtweet?🤔,953393140702040064,gabriellefewell,Need you back in my life,953383787223805952
13,TheERRose,@AMulderWrites Is this a subtweet about a particular show or just a general truth?,953391592148275202,AMulderWrites,Sometimes you just gotta watch a show specifically to better enjoy the excellent fan art that crosses your feed...,953388687164833792
14,djfuckedurdad,@deadvon wow subtweet me much?,953390976776589313,deadvon,"Serious q: who the fuck wants to go on a road trip in the summer. I have savings, I just need someone with a car who listens to good music",953390614749495296
15,mikehesselmial,@mountaindeux I'm taking this subtweet personally,953390950784622592,mountaindeux,"the cute thing about working for peta is that everyone has perfect, glowing skin",953350573847269377
16,Zheenst,@Azhee_LB You subtweet them like this,953390673436266496,Azhee_LB,How do you politely tell someone u have no idea what they’re talking about,953386368805359623
17,alexgar_97,@_lorenashlee Is this a subtweet,953385701722255365,_lorenashlee,Why do guys point at each other when they are posing for a picture?,953384279135916032
18,maybeconnorward,@internettara did you just subtweet yourself,953385166004736002,internettara,"guys want a girl who:

1. eats one meal a day
2. never logs off
3. puts everyone's texts on DND
4. only drinks water while in the shower",953380554032009216
19,J__Vicario,"@Gregggyboy plz don't subtweet the thread, none of us asked to be in there",953383671783976960,Gregggyboy,do ppl who talk in never ending twitter threads know that gchat and text messaging are available resources ?,953383085474754560
20,gileadmedia,@GrimKim You don't have to subtweet my bands.,953382245624111105,GrimKim,"Becoming convinced that no one in metal actually knows what ""obeisance"" means",953381327021264897
21,XOmunoz3,@rudygobert27 That’s why you had to subtweet about @youngwhiteside 🤔🤫,953381943399407616,rudygobert27,"Sometimes i wish we had that hockey rule, too many guys acting tough for the TV. That wouldn't happen.",953380225949188096
22,MattLake_,@imog15 Hahah don't go taking credit for a subtweet now,953380984371777536,Joelis3hunna,Your mcm goes gym all year just to have his top off for a week in Ibiza shuffling to MK,953289820675166213
23,enderphile3,"@ZionistZero stop this, I know you're making me a subtweet target",953376146854481922,ZionistZero,Currency backed by the number of street shits in India,953375835456704513
24,Peppermint_Punk,@birdparties @Mah00ty You don't gotta subtweet me like this :3c,953373398381539328,Mah00ty,Got matched up with a cute boy in my cse class woohoo,953357790424203265
25,issaRealOne1,@ToneOTF First off that’s not even me on my twitter Tone 😂 so don’t subtweet me,953373232970608640,ToneOTF,U bitches preach how niggas ain’t shit but yet condone the ain’t shit ness 🤡,953373062593789952
26,hhaarriissoonn,@BobbyLibby Wow y u subtweet,953373174133030913,BobbyLibby,More than anything the concern being centered first and foremost on men &amp; their careers speaks more loudly than anything,953352760874979328
27,russelltweetz,@jlazebnik This is a viscious subtweet,953373133292974080,jlazebnik,i'm just out here looking for a man with a strong opinion on the captain underpants movie,953142581986181120
28,br1gid,@emmaroller Thanks for this subtweet,953372087904817154,emmaroller,"""some people just have great genes""",953371739337166848
29,wtfffzandra,@ChrisJaurigue i feel victimized by this subtweet,953371157297815552,ChrisJaurigue,if i take the time to tell you good morning BITCH SAY IT BACK . it’s the right thing to do.,951813558853095424
30,GrandmasChoice,@patriciac0lleen @Jarry_D24 subtweet,953370446686244865,patriciac0lleen,People who constantly preach about being faithful and the importance of loyalty are the ones that usually cheat lol,953351854326509569
31,StyuuuL,@ThugaXD subtweet woahhh,953367481695047681,ThugaXD,if ur making suicidal emo tweets 24 7 I’m unfollowing you ASAP it’s 2018 man,953367090307698693
32,releasethedogz,@kaitlinkittymae A powerful subtweet,953365632757661696,kaitlinkittymae,you’re so full of shit but you’re also completely oblivious to exactly how full of shit you are and that is fucking frustrating,953334465690030081
33,Johnny_Guero,@CoolGuyWho @ matt then dont subtweet him,953361756172075009,CoolGuyWho,Niggas out here eating off they homies.. smh,953361220588810240
34,CruelFancyBaron,@SecksWrecks don't subtweet me,953357114659000326,SecksWrecks,Gonna spend all of sgdq cosplaying as the fun police,953161629226688512
35,ConnorFritz15,@101Jdagel God damn just tag me you don't gotta subtweet,953353209321607168,101Jdagel,Fortnite wins don’t mean shit if you only get 2 kills smh,953326982791614464
36,akatrinaoxman,@mike_patrizzo I'd rather you not subtweet about me,953346437903011841,mike_patrizzo,"When kids on your team that still can't even catch or pass throw mad posts up about ""lax season"" ...☕️🐸",952754917684531200
37,Gage_Roberts710,@caameron_post3 Can’t you just leave the beef on your insta or do you have to subtweet about it too??,953344353593909248,caameron_post3,questioning why people make such poor life choices,953342638324887552
38,n6vaR,@EdgyCJ @JackMagiks i think this was a subtweet,953343412660563968,EdgyCJ,im just tryna hide bangers for this tage and niggas be asking for them then say i suck when they don’t see em bc they supposed to be SECRET,953341290506280961
39,pottawacommie,@queer_queenie don't subtweet me like this https://t.co/eH8cqbaEen,953342997483216897,queer_queenie,"me: eh i don't care about pronouns so much

someone else: hello young lady

me: ahhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhh",953334470857412614
40,MrKirma,@7Kirma Is this a subtweet to me?,953339558657187840,7Kirma,"“Not only are you a cat person, but you’re a bird person too... that makes it worse”",953300519237414912
41,djynnflyssa,@tummynips Jeez thanks for the subtweet,953336761429708800,tummynips,There's so much stinky stinky green stuff,953335296061456384
42,notcalma,@mayapologies subtweet,953334921195655168,mayapologies,downgrade to an android if youre still sending voicemails in 2018,953329914098454529
43,MeddlMarcel,@schleifboi was soll der subtweet bruder,953331377612697600,schleifboi,Kann übrigens nicht nachvollziehen wie man regelmäßig Asiatinnen ficken kann. Die sind viel zu eng ay,953181550321000448
44,DadaUnju,@Padrone02 @Crazy_Nairobian Sorry dude i had to subtweet u😂😂😂😂,953329469489545217,Crazy_Nairobian,"Huku twitter wengine wetu kile wanataka kuona ni tweets zetu tu, si sura 😂😂!",952462819965984769
45,ECUProfessor,"@robinlisles Not sure if this is a subtweet about me, as I recently changed mine. I like the emojis on both sides of the name. 😆",953328612014469121,robinlisles,You know I think it's really funny that you changed your twitter profile to match mine.,953325796097167365
46,evanswagg1,"@morgn_taylr I pretty sure I know who this subtweet is about, and I agree 100%",953326408880844800,morgn_taylr,Really don't understand couples who have shared instagram accounts,953289996911423488
47,stoydell,@Kuligoawesome subtweet,953325323474448384,Kuligoawesome,The realization that most people don't read Blue in Saga is suuuuper weird to me,953321653886332928
48,j_mackean,@Fluffeh_c0w Don't u subtweet me.,953323474575024129,Fluffeh_c0w,Why do unfunny people think theyre funny,953255456507490304
49,SoyeahSauce,@coopaloopaaa xbox live subtweet?,953319743779467264,coopaloopaaa,being charged just to change your name on something is really fucking retarded,953222932628738048
50,CopLover69,@peepee1958 i'd be mad about  this  subtweet but i have 0 friends so it can't be me,953319576367853568,peepee1958,wa wa wa i have social anxiety wa wa wa i only have 3 friends who i see every day!!! im so alone!!!,953318444497362944
51,STLBlowPen,"@johnrabe @lbundy90 @MozAlgorithm Yup! If I don't subtweet Moz, (or him subtweet me) at least once a day, do I even have Twitter?",953319008681545728,johnrabe,"Now I'm being told that Miles Mikolas is just as good a get for the #STLCards as Ohtani would've been, and I'm done for today.",953303890593804288
52,HopingIDieSoon,@Abn0rmalized Sick subtweet noob,953318578022883328,Abn0rmalized,Quick reminder that if you Duo as a twitch jungle youre a fucking pussy,953316603881578501
53,cbwilktweetsODU,"@JimWilkerson41 Jim just go talk to your teenage kids, you don't have to subtweet them.",953318336330452995,JimWilkerson41,High schoolers need to realize that tweeting about college offers every time they get one makes them look selfish and impatient.,953258196747071488
54,krehlin,@tschak0306 @slayershawdy subtweet,953313559202627584,slayershawdy,ich mag die meisten drunterkommentare ich weiß nicht was ihr alle habt,953312364752928769
55,_littledeaths_,@amzsuxx Don’t subtweet g easy,953312223878823936,amzsuxx,"you really think she stay true? i doubt it
cause i'm fucking your girlfriend and there's nothing you can do about it",953311643739574277
56,dapurplesharpie,"@Zeddy_Beat Nigga, don't just subtweet me like I'm not even here.",953308225855803392,Zeddy_Beat,I told her I couldnt see it. Now she'll try to make sure I do. Time to turn off notifications.,953307766927581184
57,JEBWrench,@hikari_no_yume Please don't subtweet me like this I'm a powerful dargon lady,953307978823884800,hikari_no_yume,tanks are submissives who let healers show them a fantasy of being in control,953086250126315521
58,lbundy90,@johnrabe Yeah I usually just hash it out in replies. The only time I subtweet (which I rarely do) is if it's someo… https://t.co/UpkeoPTJxS,953307266291195905,johnrabe,"Now I'm being told that Miles Mikolas is just as good a get for the #STLCards as Ohtani would've been, and I'm done for today.",953303890593804288
59,ElChavoDelPocho,@_UNISecrets your momma didn't take your daddy's nut only for you to subtweet through UNI confessions instead of dealing with your problems,953303955152531456,_UNISecrets,"""So like, is your boyfriend gonna start paying utilities orrrrrr?""",953290496566284289
