,accuser_username,subtweet_evidence,subtweet_evidence_id,subtweeter_username,alleged_subtweet,alleged_subtweet_id
0,fonzays,@LuluMeep i want a drunk subtweet,969720784905121792,LuluMeep,Heads up! I may or may not get drunk tonight so if i say anything after this its not true...i hope,969719986049748997
1,elliA907,@terryak907 It's not a subtweet when you say my name in it lol,969718356973514752,terryak907,Elli's work schedule is so ridiculous.,969717617261928448
2,jordan_t_1,"@meg_shillito @lillie_scott Also honey, if your gonna subtweet about me and my best friend, at least tag us in it! #NoBalls",969714206034612224,meg_shillito,Just because your relationship has gone to shit doesn’t mean you can go after your ex cos he’s in a happy relationship babe x,969688836933672962
3,oSerzay,@HarleaAnn Anime avis telling people to get lives? That’s crazyyyy how you subtweet someone then mute them? Overwat… https://t.co/67e95om5Xv,969712479038267394,HarleaAnn,These irrelevant bitches stay typing go do something with your life,969710422961065985
4,wingsfromspine,@alfredocasiano why would you subtweet me,969711155731148800,alfredocasiano,Imagine working for hours and spending your hard earned money at Taco Bell or McDonalds,969708603669123072
5,Sylv3on,@Pharexus @_stickyfeathers dont subtweet me like this fuck you,969708221094158337,_stickyfeathers,Edging champion gundyr and sucking his nasty metal toes,969701807055409152
6,_Acti0nJackson5,@BigManWorks You sure cause that's all you subtweet about smh 🤦🏾‍♂️,969704770427551745,BigManWorks,Ion even want shorty no more 😂😂.,969701332440449025
7,IamSean95,@FrostiBunni Captain subtweet over here 😂,969703481509629953,FrostiBunni,Man I really need to buy myself a nice pair of sunglasses!,969702877940932608
8,Limez_,@fakekevss Don’t subtweet me,969703276810731521,fakekevss,"Niggas want a good bitch, get a good bitch &amp; don’t know what to do with one",969702631982665729
9,sirbigboi,@faithsommers_ Wow u really gonna subtweet pills like that #SMH #ThotsTheseDays #ItsTooLateToSaySoaryNow,969700773042053120,faithsommers_,you’re creepy and i wouldn’t be caught dead with you. bye 👋🏻,969452991676895232
10,aSinnx,@karllevy94 The subtweet seesh,969699222374223872,karllevy94,If you make a long tweet about quitting cod you’ll be back within a month.,969692148361723904
11,platypusjones,"@ericsmithrocks That would have been funnier if I had actually said ""you don't have to subtweet me, bro"" like I mea… https://t.co/8bIWQCp3xg",969699035740241927,ericsmithrocks,"Why is it that the acquaintances who want to pick your brain the most, seem to support your art the least? 🤔",969693138376974343
12,darachos,@alan_maguire What's this a subtweet of?,969695282589044736,alan_maguire,You can think that destroying a building for the laugh is dickhead behaviour without being classist about it fyi,969688548839444480
