,accuser_username,subtweet_evidence,subtweet_evidence_id,subtweeter_username,alleged_subtweet,alleged_subtweet_id
0,JeanMarcVGC,@JackTheBattler @TheMegaLugia Nice subtweet bro.,951236744942424067,JackTheBattler,I honestly think Bulu was better in VGC 2017 than it is in VGC 2018,951222843626450945
1,uNOPEia,"@ElliePisMe I mean you don’t have to subtweet me, you could just ask.",951233087555489792,ElliePisMe,I hope all of my crushes kiss me on my 21st birthday,951131993923903494
2,lcvillar,@celeste_davis7 I love a good subtweet haha,951232812681658368,celeste_davis7,girls that mess w boys that have girlfriends are DEVILS,951229233870835713
3,naylor_tali,@MormonTrumpeter Nice subtweet.,951230929153884160,MormonTrumpeter,But why would you want bridesmaids?,951164210636967936
4,NoSlack_327,@rip_tear A drybones subtweet if I’ve ever seen one.,951229147157803008,rip_tear,Im gonna skip front skwat friday just to go to this gay ass rotc pt and blow out all these fucking idiots,951228379080069120
5,QuentinQRG,@lunatic_josh wow nice subtweet I didn't think my joke was *that* bad,951228618822299648,lunatic_josh,".                                BOOOOO

                       BOO.           BOOOOO

          BOO
BOO",951228423921459200
6,MoriahHathaway,@kayleeeee_xoxox Don’t subtweet me hunny,951227741965377536,kayleeeee_xoxox,This bitch got cake like it’s her birthday,951213199336136706
7,jlsinc,@scrapegroat @samjustsamyeah @RossMc11 @mocent0 Black Mirror where a woman tries to subtweet her husband but descends into Hi-De-Hell.,951223442677882880,scrapegroat,What's the worst programme or film someone you were in a relationship with ever made you watch?,951210828178558976
8,reptyle05,@DJsiLLyKiD i totes thought it was a judgmental subtweet,951219480318722048,DJsiLLyKiD,So is there a general agreement on when it’s too far into the year to still be saying “happy new year”? 🧐,950877551685021698
9,juliaeberry,@qikipedia @NoahSegalGould is this a subtweet,951214637013458944,qikipedia,AKRASIA. An Ancient Greek word for acting against your own best interest because you lack the willpower to do otherwise.,951211815400280064
10,savhill,"@FrankieNYR54 Shes alright 

Imma subtweet tf out of you",951214158242045952,FrankieNYR54,Another one.... bites the dust...,951166712648478720
11,MattClareRivals,"@JLMcCuistion @simplyCoachO @EJHolland247 the original tweet is obviously a subtweet aimed at someone, now I want to know. 🤣",951210566663753729,EJHolland247,More people need to go see the kids they talk about/rank in person 🤷🏻‍♂️,951178270971703296
12,haileyylawsonn,@JasmineSines Your tweet is deadass a subtweet about subtweeting. 🤒🤒,951209223244910593,JasmineSines,bitches talk ab sub tweeting but do it they self. 🤔,951207796397273088
13,ThadCollins,"@unfxckwittable I wasn’t even the “black friend” in my subtweet, DAMMMMMM",951206810932871168,unfxckwittable,Thad is def the type to be friends with casual racists. Full offense.,951195963225526272
14,savhill,"@FrankieNYR54 I KNEW THAT but i meant in this context 

Like if i tweet tswift lyrics it was likely a subtweet",951206520234049536,FrankieNYR54,Another one.... bites the dust...,951166712648478720
15,savhill,@FrankieNYR54 Is this sports or a subtweet,951203211213463552,FrankieNYR54,Another one.... bites the dust...,951166712648478720
16,Manateejay,@XOperfectmessXO @squirrel74wkgn do not subtweet me or my vagina ever again,951203043466346496,XOperfectmessXO,"Your v neck matches your vagina, bro",943186381857320961
17,gatorboyosteve,@Jackamacka1 This feels like a subtweet,951198322185809920,Jackamacka1,This Town is the most boring song in history,951197400227569664
18,WillyWollyOlly,"@BroganKay_ @Alina_Magik1 let's not subtweet people, Brogan. I know you're better than that.",951195472244494337,BroganKay_,Just read a tweet saying the person doesn't agree with body positivity?? 🤔🤔🤔,951168445521055744
19,BobbyLibby,@kylebuchanan way harsh subtweet of Paul Rudd,951195397829120000,kylebuchanan,The thing about the ALL THE MONEY IN THE WORLD reshoots is that Marky Mark had to take time from his busy pants-dropping schedule,951194089868816384
20,BabyBlanche27,@Kim_venty And tbh she needs to stop. Yes this is a subtweet.,951195168283287554,Kim_venty,"Once someone called me n my housemates whylers, as if they know us ☹️",950705140721442823
21,fiiinix,@schwarzundchrom jennifer subtweet ich liebs,951194116905422849,schwarzundchrom,sie ist gegen alkohol allergisch oha das tut mir jetzt wirklich leid #bachelor,951193864395739137
22,meghan_costigan,@kfitzxvii is this a subtweet to the bedpost,951192302852112384,kfitzxvii,Things change but the memories don’t,951133964760174592
23,PhenoderZehnte,@calytriix was soll dieser subtweet,951191947468828672,calytriix,"wenn ich männliche virgin weebs auf der tl habe😓😓😓😓😖😖😖

wenn ich süsse weibliche idoltwitterinnen auf der tl habe😻😻❣️❣️",951191061891870722
24,ZanaBarzan1,"@zanaezat @revanbarzani It’s not really a subtweet anymore when you @ them, just saying",951191305371217922,zanaezat,"You could just rt my post mate 😂
Not just download and repost it.
#be_original",951190197655560192
25,CoolGrayAJ,@FluxedOver This the type of subtweet I like,951186271753330689,FluxedOver,AJs sneaker radar is so strong,951186190631342080
26,DallasQuinlan,@mmackay73 This is an official Matthew Steven Mackay subtweet,951185032261046273,mmackay73,Public PSA Announcement : learn how to fucking drive in the parking lot please and thank you,951176929331343361
27,meyer1244,@ntsprsts If this is a subtweet about Gafurov vs Aoki I 100% agree and thought the same thing when I read it,951184223867686912,ntsprsts,pet peeve: when mma cards have grappling only matches with two big name fighters.,951182213256810496
28,dunk2001,@TheCatErin What a subtweet,951182463606370304,TheCatErin,Twitter user _MakeEmScream_ is a booly.,951181957186179073
29,JohnnySkins,"@keull Quality subtweet. Also, never mentioning internment camps has to be a rule of thumb. I'm no lawyer though.",951181102999396352,keull,Note to self on whom I would never refer a criminal matter to when asked for a referral.,951180532137816064
30,yungricepatty,@jared_brown34 subtweet,951178309852803072,jared_brown34,Friends dropping you for their gf is not ok,951178147935879168
31,MomentzBarz,"@DianRedRain Wish I knew who the subtweet is for, I'm curious what kind of person that has to be for you, the all-l… https://t.co/ZvzUIncOqo",951176861832351745,DianRedRain,there's literally no one I hate except for one person,951176311015436290
32,ingdamnit,"@EponymousKid dont subtweet me

RT if you agree",951174622606708736,EponymousKid,"""RT if you agree"" - a person who thinks agreement isn't implied bt RTing to begin with",951174493799510016
33,emtrinc1396,@Madie_Logsdon3 Wow subtweet me again I️ dare you,951170072051159040,Madie_Logsdon3,I get so many stares on campus for wearing my obnoxious coat. Haha fuck you boring bitches.,951119791137443841
34,daylejordan12,@colton_hobbs Was that a subtweet? Haha I dont even get a reaction from the chain themselves,951168848434204672,colton_hobbs,"Me: gets annoyed at people who tweet at chain restaurants just for attention. 

Also me: tweets at chain restaurants just for attention.",951155255831646208
35,LukeHeeringa,@pilchen33 is this a subtweet,951168313874411521,pilchen33,"It’s so important for students to see good, live shakespeare!!!",950955934003601408
36,Lenins_kitten,@GrenjaCommie is this a subtweet 😠,951167385800794112,GrenjaCommie,*in very i have no clue what im on about voice* Marxist-Leninism is just what Marx and Lenin wrote and nothing else,951165543561744385
37,LucioIsGuccio,@futureboundx Pussy subtweet let’s fight this out in Mario party,951166394946768897,futureboundx,being high in school is not fun no I do not wish that was me,951163770088443904
38,porchrates,@LDTG117 is this is a subtweet about me and geography of nowhere dylan wtf I thought we were friends,951162575777091584,LDTG117,You either die a Florida or live long enough to become a Kunstler.,951112588619902981
39,dinobuttz,@Basedkanbaru Why you gotta subtweet about me,951160266632433671,Basedkanbaru,Lonely idiot who isn’t good at anything,951038668130709504
40,KateMcZilla,@ginaameow Is this a subtweet to me? 😏,951159426655940608,ginaameow,"Darth Vader in 2018:

“Luke, I am your Daddy. Now take this force choke like a good little kitten.”",951158079344730112
41,Jaydonnnnnn,"@gdalynne Just clarifying who your subtweet is about, wouldn’t want to leave Twitter in the dark🤷🏼‍♂️",951155712327016448,gdalynne,Stop getting defensive I was just asking a damn question😴,951141017129926656
42,zachgross_9,@Priscillmarii subtweet game hella strong 👌🏽,951153464670900225,Priscillmarii,I gotta deal with 4th floors bullshit even when I'm not in lousiville hall,951140505890455552
43,skidi_kat_kat,@PearlsFromMyrna @thatssoclayven Damn. Bev just threw mad shade. #subtweet,951148063309131777,PearlsFromMyrna,I don't know why Bev passed up my perfect homemade lemon bars in favor of Helen's inferior store-bought cookie covered with bad chocolate.,950438072159674368
44,yungraichu_,@Diese_Userin subtweet des todes aua?,951147287975165952,Diese_Userin,Anxiety jetzt neue Modekrankheit oder was,951146976741134337
45,_CANSLP_,@MrHaydenMyers @EmmyCic is this the best subtweet,951146137993523200,EmmyCic,What are your favorite villain tropes/types?,950913330532769793
46,niallerlarry_,@sebtsb Wow is this a girlfriend subtweet?,951142969117061120,sebtsb,always missing people who probably don’t miss me,951142791907889155
47,caitlinaa,@hmsparks123 subtweet me harder?,951140524207034368,hmsparks123,im over the indie boho trash aesthetic. we get it u like obscure rock and you dont shower,951137721870888960
48,FightOn4Realz,@DaGman7 When you read a subtweet and wonder whom it's referring to. https://t.co/9e5oUuIBe1,951139958340780032,DaGman7,Recruiting is like walking into a used car lot. It’s your fault if you buy that lemon 🍋. #NoRefunds ✌🏽,951135569135861761
49,CahnEmily,@whpatterson @LoganDobson @DavidSeawright This subtweet is intriguing me. I need to know who posted what!,951136203411161090,whpatterson,This person follows me on twitter so i won't elaborate but you know what you posted on facebook and you should feel shame.,951133904160911363
50,sad13,@jelani_sei subtweet,951136003934310400,jelani_sei,The Krill cult following &gt; every fan base,951135019929669632
51,TheWillThe,@H_Ram mbmbam subtweet?,951135046576099329,H_Ram,"Dear every podcast, 
I'm tired of your live episodes.
&lt;3 H_Ram",951131365768122368
52,PKMNTRxOrange,@sentientsquid @queer_queenie facts....whats a subtweet?,951134473567031297,queer_queenie,1 like = 1 fact about me or something i'm very bored,951119355064012801
53,DavidSeawright,@whpatterson Strong subtweet of @LoganDobson,951134431967940608,whpatterson,This person follows me on twitter so i won't elaborate but you know what you posted on facebook and you should feel shame.,951133904160911363
54,SkipSmith10,@ApostleStark Man. I’m so loving this. You stole my subtweet for later. Y’all need to be praying for all the family… https://t.co/uqHvbbtVQF,951133515344678912,ApostleStark,"Some of y'all really into discerning false teachers. 

What would happen if you put that energy into your vocation?",950855077547343872
55,matteo_fckboy,@lachance_lucas Ray you subtweet me one more fucking time,951129279127080967,lachance_lucas,Youre not disabled you’re just stupid,950947510171860992
56,korewakotu,@kiraku_synthboy Is this a subtweet,951128062531313665,kiraku_synthboy,i’ve been kinda stressed lately and i’m avoiding my inbox like the plague so i’m sorry if you’ve messaged me and i haven’t responded,951127664420704268
57,braydonlewis1,@bradakridge15 Why you gotta act 12 and subtweet. @ this girl.,951128028679168000,bradakridge15,We hung out once and I wouldn’t even consider it a date so why you gotta act 12 when I see you in public 😂💁🏼‍♀️,951009968219738113
58,sentientsquid,@queer_queenie gosh it's really hard to figure out which one of these is a subtweet of me ;p,951127946571366400,queer_queenie,1 like = 1 fact about me or something i'm very bored,951119355064012801
59,MarcDA94,"@spoderbro Just @ me next time bro, no need for the subtweet",951120826408976384,spoderbro,We all hate vegans but mostly because deep down we know they're right,951115039884259328
