,accuser_username,subtweet_evidence,subtweet_evidence_id,subtweeter_username,alleged_subtweet,alleged_subtweet_id
0,abcardenas98,"@ThrashOlivia Damn bitch, if you were gonna subtweet you could’ve made it a little less obvious😂",953775428673601538,ThrashOlivia,"you think you’re so cool bc your body count is so high, but you’re 20 and all your bodies are like 14",953761915376939008
1,treyzingis,@TheJakeChristie @andrebarrera @ryne_jones you should definitely subtweet ryne,953773344058494976,TheJakeChristie,"I resent the three or four people I now follow who are soccer fans because I get confused at every other tweet with ""Spurs"" in it.",953765657488887808
2,HardlyHanzo,@yakinikuwizard dont subtweet,953771829923123200,yakinikuwizard,"keith: I'm gonna play whoever is top tier, idc about this lore and shit 
also keith: damn this pink anime bitch is fine that's my bae now",953739908157460480
3,vanessadlgarza,@hxchanz is this a fckin subtweet,953763718646571009,hxchanz,where the 6ft+ women at,953763479420157952
4,ballinwallin04,@Jesstrihey I feel like the younger generation uses Twitter often. Mainly to talk shit about others and subtweet one another.,953763488211619841,Jesstrihey,Haven’t been on twitter since 2013 - made a new account then hacked back into this one.. What do people tweet these days? #lost #politics,952336746225823746
5,_swammi,@endshark don't subtweet me omg,953763363477078018,endshark,You ever watch an artist kinda just burn out and disappear and you wonder what happened? That kinda just feels like me these days haha.,953751988725891072
6,avismall,@SeanLavery omg did the target of this subtweet graduate from the esteemed Medill program?,953763212113170433,SeanLavery,J-schools pivoted to brand management ~5 years ago and we're about to reap the benefits of that particular ethos.,953760542551871495
7,Moth_xD,@DaaN1014 oooooooo shit subtweet,953762522355716096,DaaN1014,fucking hell some people change around others,953762132620963841
8,tkriv94,"@kaytarm Okay first of all; is it a subtweet if you tell me it is a subtweet. 

Second; Good. Bye. Karmann. https://t.co/F7B4BCewYD",953757556467470343,kaytarm,"Sometimes, I really love antagonizing my friends over the stupidest things. Especially if it involves their profession.",953749590322372614
9,Jakebowen1596,@nikjohson I think you subtweet more than most women*,953757488310079488,nikjohson,Idc what you do or what you have to say I ain’t going anywhere..🤷🏻‍♂️,953749206044422151
10,AhsanTanoli,@Sharbat_0 stop subtweet chat. DM aur whatsapp hotay hain is ke liye 😃,953753941946355712,Sharbat_0,What about you say it openly...,953743081819590661
11,Eribiiax,@RapioSmite If you wanna play the subtweet game rapio then let’s have it!!,953751299446706177,RapioSmite,When Eribiiax sub tweets about your operation mission tweets about ranked on twitter 😒,953751061919133697
12,KNJ091294,@knj_WAV no bc i like to be petty and subtweet,953749731095687168,knj_WAV,yall ever block back when someone blocks you so they can’t talk shit about you and the things you tweet,953749330615259136
13,unbibs,@jpatrickdwyer did u jus subtweet the sun ?,953747860734005248,jpatrickdwyer,some may be blind to your light but that doesn’t make it any less bright,953746866222624768
14,npanttt,@samikunz when u subtweet about me 😻,953747486887133184,samikunz,i love my ds girls so much 💛☀️,953728245546889216
15,bea_ker,@danieltownes Hurtful subtweet,953745804136562688,danieltownes,I really hope this new year new you thing pans out coz up till now I’ve thought you’re a massive c*nt.,953473195197247490
16,deAnnafecteau_,@_SOULUTION Omg as you subtweet yourself 😂,953745724877008896,_SOULUTION,The most connecticut thing you can do is sit on an old park bench for a photo,953743468756692993
17,msu_dad,@wicklUND_notAND Is this what a subtweet is???,953743634796511232,wicklUND_notAND,"“When in doubt, lobotomy it out” -a quote from me. 
Why do I say things...",953088681333665793
18,SteeleHisHeart,@RPPraise Isn’t it like a subtweet? 🤔,953735870359769088,RPPraise,"Am I the only one confused by ""air"" tweets? 😶",953733785257787393
19,katrina_rxse,@StephenTries subtweet at alfie,953732238029611009,StephenTries,Don't think I could ever trust a person that prefers white chocolate,953732108966678528
20,SpideyPrivate,@thatsthewave Is this a subtweet,953730709688119301,thatsthewave,"Playing persona 5 at a shockingly slow pace even though it's your favourite game, that's the wave",953730580683763712
21,PatrickDearden,@Lambooooo__ Is this is a subtweet on @lolianxiety,953729232106065922,Lambooooo__,I don’t need her I don’t need him fuck it I’ll do it myself 🎵🎶,953728612515172352
22,PoPo_Castillo,@parker_aIIen don’t subtweet urself,953724486682951680,parker_aIIen,white girls love bringing their starbucks and mug of oatmeal to 8ams,953676332205973505
23,tchurch22,@notgwenStefani I feel like this is a subtweet but it’s also the truth so 🤷🏻‍♂️,953721953298386945,notgwenStefani,Talking to people via shared Google Doc projects is 2018 Harry Potter talking to Voldemort via Tom Riddle's diary.,953704207164624898
24,EricaFails,@bettyfelon Lore subtweet?,953718013433323520,bettyfelon,there are a lot of amazing podcasts out there that are probably better off never doing live shows 🙆🏻‍♀️🙆🏻‍♀️🙆🏻‍♀️,953693215307255808
25,asthejoeflies,@FreequentFlyr Isn't your subtweet bragging about BTC tanking basically the same as subtweet bragging about BTC skyrocketing?,953716667477045249,FreequentFlyr,S&amp;P is up 86% month-over-month (denominated in BTC),953716112319041536
26,turtleheadjoe,@kllrbnny Is this a subtweet?,953714774378012672,kllrbnny,How annoying would it be if I tweeted about what a fantastic song Bad Fish is every time I listen to it?,953713377418907649
27,blackcoat,@matociquala subtweet game on point,953714622590214145,matociquala,"I am way too busy writing to have time for conspiracies. 

Some of us out here have careers.",953714564281008128
28,Chevyguy20015,@ShawnBlackburn5 Don't subtweet me,953713148393123840,ShawnBlackburn5,You might need a smaller bike seat.,953711847051546624
29,freepabl0,@UberFacts Is this a subtweet?,953712986392289281,UberFacts,Females in the animal kingdom often use passive-aggressiveness to solve problems with their sexual rivals.,953707747085881345
30,dkulchar,@loadedonloaded don't subtweet @jxschneider like this,953709787669245952,loadedonloaded,"Guy sitting next to me with Turning Point “I Love Capitalism” button, nervously toggling between Ethereum and Ripple markets",953668611092242433
31,jacobryanderson,@pamelaajacobo did you just subtweet that girl that spilled coffee on you,953708805379973120,pamelaajacobo,always end up wasting my time on the wrong people,953690767624626176
32,OIIy0,@Robz___ @Rubsicles @Assxssin_EU please just link or don't subtweet me again like your actually good,953705964586323969,Assxssin_EU,"Division 4 Is So Difficult to Predict, quite a Few Empty Squads",953701744667656193
33,hiamandataylor,@katiekanoosk @sarahccaldwell I approve of this subtweet,953704159047401472,sarahccaldwell,"Today someone wrote to me ""Happy Birthday! I hope I have a good day."" ... the funniest birthday message I've ever received.",953684212481249282
34,itsmeliane,@MegJNesmith Is this subtweet directed at me?,953703370090582016,MegJNesmith,A cool thing no one tells you about your 30s is that you lose the ability to dress yourself.,953402439910285324
35,BaileyStraughn3,@unrulyfolks Bro is his a subtweet or bby kodie I CANT TELL!,953700082259582976,unrulyfolks,"Her boyfriend know he a square.

His whole fit look like it’s going through depression.",953648951411998720
36,JustDontBugMe,@CantWaitToNap You don't have to subtweet me... you know😒😂😂❤,953696427384778752,CantWaitToNap,"People ask you for help getting their tweets more exposure? 

YOU ARE A TWEET DOCTOR?",953696222312886274
37,gil_galads,@admirableism this is a mairon subtweet isnt it,953695461378088961,admirableism,"bereft of his lord, he fell into the folly of imitating him",953689699406831616
38,lilgabbievert,"@briannaj1021 Didn’t know it was yours. No need to subtweet abt me, i’ll venmo u the $2 that jawns worth tho if u want",953695319879020546,briannaj1021,"Just seen a snap of a hoodie I let my ex borrow on someone else. Like don’t give it to someone else, fucking burn it or throw it away.",950918316679483392
39,Magic_Vagabond,@ThighInspector @TaigaRespecter Tage likes to subtweet,953694327535996928,TaigaRespecter,"""men"" who don't drink coffee",953692101547507712
40,ThighInspector,@TaigaRespecter Magic Caster subtweet?,953694038749626368,TaigaRespecter,"""men"" who don't drink coffee",953692101547507712
41,CoutureRicky,@neiltyson Is this a subtweet? I want to know who's getting eclipsed here.,953686712177364992,neiltyson,Sometimes I wonder if people who aggressively seek political power are precisely those who should not be entrusted to wield it.,953685116366344192
42,natybb6,@__DeJesus How you subtweet urself,953681733114789888,__DeJesus,How y’all unfollow me but still check up on me,953663841308762113
43,Blankzinga,@tghalls can you not subtweet me please when I follow you :(,953681448086552576,tghalls,#WednesdayWisdom: Don’t refer to yourself as a ‘world-leading professional gaming team’ with 112 Instagram followers.,953681190799708161
44,MrJeremyM,@zenghazi subtweet game alive and well,953681424007221248,zenghazi,I'm going to mute more people. This is my thing now. Mute.,953477698738905089
45,Forcebalance,@senatorshoshana Don’t subtweet. Name names or move on over to the gentle seas of @Facebook,953680657670164481,senatorshoshana,That thing when people I used to look up to show their true colors and absolutely disgust me,953664926782017536
