,accuser_username,subtweet_evidence,subtweet_evidence_id,subtweeter_username,alleged_subtweet,alleged_subtweet_id
0,snackfight,@juliemuncy23 was that subtweet aimed at me?,964648475357995008,juliemuncy23,someone should let me refurbish their website's review section,964648373268762624
1,alaraebeard,@_jwelds your gunna subtweet me when I'm sitting next to you.....cunt,964644978109698048,_jwelds,"There are not one, but TWO couches in my bedroom, and still the first place people go to sit is my bed. Drives me insane 🙃😅",964644501775179776
2,SPRinNYC,@coreykindberg don’t subtweet me,964641231652388864,coreykindberg,There’s a dude with fangs on licking them at me and now I want to watch Blade.,964640514313211904
3,studentactivism,"@MichaelMcGough3 Ah. Based on my Twitter feed, I thought this was a Black Panther subtweet. As you were.",964640553752293377,MichaelMcGough3,Not sure it's good for any movie's box office for people to think it's an edifying (as opposed to an entertaining) experience.,964638334852231169
4,sSepTic_,@Zepinox What the subtweet,964638179369345024,Zepinox,Its actually crazy how people have an ego over fortnite im done LMAO,964636986630840325
5,Comrade_Maria,@4CCSUPERtwinky @NotSomaLol It’s not a subtweet if you at me haha,964634705969721344,4CCSUPERtwinky,"It's dumb to re-brand yourself by deactivating and starting a new accout.
Own your old brand you cowards",964631172302233600
6,PHXCards11,@sbj4103 I am. You don’t have to subtweet me. @ArizonaHiggins and @sheepdogAZ know.,964619075405078528,sbj4103,Can you tell me that your really real so I can finally know.,964618543944708096
7,MelissaCorkk,@jaime_addario Don’t subtweet trisha ever again.,964619057067675649,jaime_addario,Watching videos of people doing eating shows on YouTube makes me feel a little better about my eating habits.,964618892076339201
8,SooExpensivee,@FloridaMade_ Bitch is this a subtweet 🙄,964618985219219458,FloridaMade_,But I Need My Hair Done😩,964605775330054146
9,antennas_2_evan,@brad17123 is this a subtweet,964618566015340545,brad17123,🎶gimme the Beach Boys and free my soullllll🎶,964618309152002048
10,clominique,@ayyyyydree This feels like a subtweet... but I’m not finna air you out on twit like that,964600187585953793,ayyyyydree,"Me:

Skincare Twitter: coconut 👏🏽 oil 👏🏽 is 👏🏽 a 👏🏽 sealant 👏🏽 not 👏🏽 a 👏🏽 moisturizer 👏🏽",964555119424692225
11,feifei_sun,@grayhchapman Omg is this a subtweet does he follow you,964595164600774656,grayhchapman,do you have a favorite Secret Grudge you take particular delight in harboring?,964511661544673280
12,F3deralReserve,@hatexgroup nice subtweet,964592035666767872,hatexgroup,I've just been told I talk like a burn out. Oof,964589764748996608
