,accuser_username,subtweet_evidence,subtweet_evidence_id,subtweeter_username,alleged_subtweet,alleged_subtweet_id
0,woolydub,@AlanShipnuck alan with the spicy subtweet.,965373317795397632,AlanShipnuck,"We all know Bubba has issues, but two wins at Augusta National and three at Riviera is testament to his golfing genius.",965366483432890370
1,amra_sk,@sivemortenlol how dare you actually subtweet,965371706956222464,sivemortenlol,"if you unironically say ""a mood"", please delete your social media.",965344673232510976
2,JFFRS_,@Fesypoo People in my lobbies reload cancel USRs then subtweet me when I told PDW them,965371446921973761,Fesypoo,I ain’t gonna hate on y’all niggas always using semis but just don’t be upset when I decide to go for pick ups,965370544198598658
3,dernest10,@mannameddouglas This was definitely a @em_paigee subtweet,965369737822732288,mannameddouglas,#thingsthatirritateme people who always get their way no matter how wrong or bad they are,86554477179568128
4,captainstefanie,"@KevinTPorter This almost serves as a Gary Oldman subtweet, too.",965368870822469632,KevinTPorter,"Laurie Metcalf won’t win an Oscar because she didn’t wear a wig, play a real person, or yell the c word",965365798997917696
5,LeaPate21343340,"@IISuperwomanII Okay but for lilly to actually subtweet about someone it must be bad, cos our girl is the nicest pe… https://t.co/ccs30o8cDp",965366669580304385,IISuperwomanII,"Miss me with that, ""I want your viewership enough to collaborate but not enough to trust your creative vision"" nonsense.",965339830904225795
6,FlexAogle,@TheSoup9603 Did you just subtweet yourself? 🤔,965362875824005121,TheSoup9603,Poof your Instagram is gone and you’re no longer a model🤷🏻‍♂️😂,965360220183711744
7,emma_gear,@MoonlightUmbry damn i was sure this was a subtweet,965354546456416256,MoonlightUmbry,It must suck to develop a fetish that's rooted in something terrible and you can't do anything about it cause it's just in your damn brain.,965354180180406272
8,hans_house_,@MichaelHolcomb8 why you gotta subtweet me like that,965353242384306183,MichaelHolcomb8,"Just heard the sentence: “If you can’t handle my boogers, you can’t handle my pussy.” Ooooooookay then.",965335690300018689
9,KylaSecrest,@BayBenedict9 i feel the subtweet so hard😂😂😂 but because it’s so much better,965352047720779776,BayBenedict9,i don’t think i’ll ever understand how people think hot head is better than chipotle,965349759501459456
10,traciejoann,@Simounn subtweet me again,965350197747265536,Simounn,Tracie needs to stop fucking around &amp; make a business card lol so many people at the wedding asked for one 😭,965328961302441984
11,faithynicolette,@young_deex .......you can gtfo I been loved him and felt this fake subtweet BAI,965348956652953601,young_deex,"now everybody wanna claim michael b jordan , like bye thats MY husband. we can argue.",965346726398832640
12,K_WhiteBU,@colinkriegel Did you just subtweet yourself? (Is Kriegel German?) Lol https://t.co/cniDYSHLCY,965345339199901699,colinkriegel,Lol white German guy flexin.,965315808778956800
13,marco_cartolano,@emilynussbaum @Ekrons1996 Is this a subtweet?,965344195404804098,emilynussbaum,“Marco plays piano./Marco’s 21./Marco is a former junkie/And a Danish actor’s son” is a solid opening for a song.,965324955599679490
14,lunchspecial69,@DaveFrknLoach Is this a subtweet because I was HOLDING HANDS before you were born,965338783125295104,DaveFrknLoach,"Oh sorry I forgot to respond to your tweet, I was too busy having sex for the normal amount of time",965338353192394757
15,Jontaviousdavis,"@ElzeyEizabeth Okay we established that your getting old 😂 but let’s not text, Snapchat, and subtweet all at the sa… https://t.co/ezqCUkDAAk",965336470184710144,ElzeyEizabeth,I always wonder where all my money goes. I have come to the conclusion that the answer is gas… I drI’ve way too much 😂,965316091269525506
16,SecksWrecks,@ARealCutie_ Don't subtweet me,965333387476168709,ARealCutie_,Tummycummies is quite the twitch name,965255373090410496
