,accuser_username,subtweet_evidence,subtweet_evidence_id,subtweeter_username,alleged_subtweet,alleged_subtweet_id
0,IzEastonParker,@IomImyass @whiskxyshots Homie got so mad. Mind ya business next time man. And don’t subtweet me 💯,951600792728981505,IomImyass,IM NON DATING NON LOOKING I UNOFFICIALLY HAVE SOMEONE LEAVE. ME. ALONE.,951355170604093440
1,zoieloves,@dannielleor Great subtweet,951599570902958082,dannielleor,I would have left too if they pulled that shit w what’s her face.,951595545805578240
2,beecozican,@livefromDarwin Oh that was a subtweet? I have no idea about these things 🤷‍♀️,951598702895878144,livefromDarwin,Friday morning lay ins are the best.,951589897852239872
3,ColiseumSewage,@cuppingmaster @Sniff009 @scottfernandez Ew subtweet,951598295427694592,scottfernandez,LA is also kind of a shithole tbh! a shithole i have great affection for though,951590675463598081
4,Marinosepass,@Moxagita this means even more people will block me and maybe even subtweet me,951597486380118021,Moxagita,O*bsidianw*sp retweeted that post time to have the entire fe fandom reply to it I guess,951597258738421761
5,rsantoast,"@kayls_15 BET. Fu and this subtweet, did you all of sudden forget that an @ sign exist? Also, I have my reasons and… https://t.co/xjbl2EuvmV",951593276477358080,kayls_15,Still wondering when my BFFL is going to officially stop being a stupid ahh noodle head 🍜,951558247986573313
6,AaronBaronHill,@johnjf125 I just realized Donny C and Donny T are different Donnys that we subtweet,951591400113623040,johnjf125,It is with a heavy heart I must report that Donny T is at it again,951590503786655744
7,Reps4RevF,@Verdictionary Dont subtweet your teammate like that poor @LiamCarbines,951585133332660229,Verdictionary,"Just seen a guy drive by in his car dancing whilst drinking a bottle of alcohol, fucking stupid people man",951584312901754880
8,BarelyOnTime,@etchcafe Don’t subtweet me Jesus,951580803066159104,etchcafe,White people think whole milk too spicy,951569249872596993
9,ThatGuyMirage,"@remodera i see subtweet about me all the time, youre the one who rides my cock loser",951578081260601344,remodera,where the non fake gta niggas at,951577840016793600
10,Lisaynne,@Pontifex Nice subtweet! 🔥,951577497149243392,Pontifex,"If we fail to suffer with those who suffer, even those of different religions, languages or cultures, we need to question our own humanity.",951431001066168320
11,CoachBourbonUSA,@redacted_agent This is my favorite subtweet,951575598408830976,redacted_agent,"MOOD:

I H8 most people but not you...",951575490690736128
