,accuser_username,subtweet_evidence,subtweet_evidence_id,subtweeter_username,alleged_subtweet,alleged_subtweet_id
0,JasonMathes,@jerin_12 No need to subtweet me man...just @ me,949792655701143552,jerin_12,"My universe will never be the same, I’m glad you came",949757450093293571
1,Hank_Rearden11,@OhHell_Cherry This is the deepest subtweet I've ever known.,949790939651993601,OhHell_Cherry,I'm thoroughly disgusted by ppl who only talk in circles - always some sorta dropping hints/subliminal bullshit.,949740591591645184
2,hyper_samuraiii,@ImDazzy subtweet much lol,949789764093399040,ImDazzy,Imagine taking the piss out of someone that tried to commit suicide and justifying yourself by saying that your sense of humor is different,949772646241177600
3,arburnside,@CSwamptown Is this an #FCSChampionship subtweet?,949787526704791556,CSwamptown,If I'm going to walk 500 miles and 500 more just to fall down at your door then I better get a bj.,949770358244171776
4,CaffeineTerry,@netflix Okay! You dont have to subtweet me. Jeez,949786922456616965,netflix,please stop calling our customer service hotline to ask if we have The Gorilla Channel,949449196536393728
5,KniginAaron,@FuggioNoelle is this a subtweet,949786150985756673,FuggioNoelle,The drama kids #forbiddensnack is the Hamilton playbill,949537520139849729
6,gracehutchin1,@sarajdenis is this a subtweet?,949781817447428096,sarajdenis,Jeez guys i’m only 13 stop calling me old,949781417776488448
7,ToneBone__,@M3GAMANE You didn’t have to subtweet me.. but I️ see how it is😪😪 why lightskins always ruining my heart,949781232006541312,M3GAMANE,i’m goofy as fuck so if i’m boring around you i prolly don’t fuck wit you like that,949765666776559616
8,JelloLoli,@smeef_ Mr smeef don subtweet &gt;:0 subtweeting is mean :(,949781037139161088,smeef_,"Sometimes I just wanna talk to my old friends. Like zoie, loli, jerry and outkast. But then again idk. I don’t think they want to lol.",949780518110982144
9,BisforBeatriz,"@esme8you Here lets not subtweet each other, I wasn't trying to be slick. Your shit popped up on my timeline, I can… https://t.co/7bt4yRV6Ae",949779354413776898,esme8you,Girl you ain’t slick😂,949776585304887296
10,candidqueso,"@MollyCocktail Stop subtweeting me*!

*you're a goddess...subtweet me so hard I quiver 😉 https://t.co/UJyFvzZeOW",949776861277642752,MollyCocktail,i’d like you a little bit frayed and a little bit closer.,949687552910426112
11,aiurite,@denbear_ nice subtweet dean..................,949772994573828097,denbear_,"""I finally finished chapter 5 in yakuza 0""

Basil ""Oh yeah the part where this unrelated spoiler happens you havent seen yet""

THANKS B",949770741532315653
12,IvanKingOfScots,@eveyy94 Lmao you just gon subtweet Clarissa while she follows you 😩😂,949772388572413952,eveyy94,My friend wants to roll wit me to EDC but lowkey dnt wana go wit her cuz she loves the med tent 😐😐🌚,949555245926858752
13,jalynsama,@_mikkofelix how tf r u gna subtweet yourself,949759741089083392,_mikkofelix,Those people that you know are always on their phone but never reply to you n shit,949606174038491136
14,jason23688,@Shane_Riordan Waiting for @JulieDiCaro  subtweet,949756401307541504,Shane_Riordan,Can we talk about Patreon? Can we talk about the proper use of Patreon?,949743498739281920
15,CaptainChesta,@_missabs wow major subtweet,949756224559460352,_missabs,"If you ever want me back, then your walls need breaking down.",949720049190711296
16,DMPJefe,@1MenaceMcnabb Lol I just wanted to play wit u on here cuz u a bitch and I’m not finna subtweet war 😭😭😭 we’ll see w… https://t.co/tRowOo9swF,949754351278411776,1MenaceMcnabb,Blood Gang these Niggas is just rappers and really not living dat Soowoo they gone crash out,949637699387969536
17,loss_for_words,@GrosslyOvrRtd I love it when you subtweet about me.,949751910231367685,GrosslyOvrRtd,She has me practically falling over myself like a teenager.,949528036092850176
18,carrie_savannah,@HamboneAnna It ain't a subtweet if my names in it 🤧😂,949751854849839104,HamboneAnna,Tell me why Savannah always trying to correct me 🙄,949751510984024067
19,carlieadams17,@Cookie_chlo3 awww chloe that’s the sweetest subtweet ❤️ i love you too,949751150345162753,Cookie_chlo3,I’m a whole lot in love with you,949699140900007937
20,MemesUndBanter,@Stairfax Is this a subtweet of me?,949749780510633985,Stairfax,People that like Astolfo but dislike Shirou and haven’t read the VN makes me want to inject concentrated bleach into my veins,949674870836744194
