,accuser_username,subtweet_evidence,subtweet_evidence_id,subtweeter_username,alleged_subtweet,alleged_subtweet_id
0,barelysarcasm,@Keither37 @landrybender OoooOooOooh. I wonder if I’m included in said subtweet. 😎,946893068925415425,landrybender,I love being friends with comedy writers cause their twitters are always the best. Facts.,946864110691532801
1,wweatherheather,@ComradeCranium Is this a subtweet?,946892516770459648,ComradeCranium,Fucked Up Giant Asshole Zero Intelligence,946890944439312385
2,ShaunHudgins,"@JC1053 @JasonLaCanfora @ElizabethNoll Yep. Even if you were somewhat put off by the 8 phone calls, the subtweet Tw… https://t.co/rMbi94gKNI",946886648448483329,JasonLaCanfora,"Pro tip to radio producers: if guest you don't pay can't answer phone, it means theyre likely working for their employer Don't call 8 times",946768496951812096
3,ScottHaffley,@KaitlynMarie230 Don't subtweet @Hemby423,946885533480968193,KaitlynMarie230,You're as stubborn as they come.,946884736751939585
4,SarahKerzner,@JZBurger This is such a niche subtweet,946885209156345856,JZBurger,If you’re ordering pizzas for a bunch of people don’t get 5 pizzas and put Olive on four of them,946885125173899264
5,SeanGallagher34,@jack_collins95 How did a subtweet do better than a retweet? Probably cause you live in Liverpool,946880597103927296,jack_collins95,"Just to let everyone know I go to uni in Liverpool, if yas didn’t know",946790126637678592
6,DesolateTree,@EvanShanks When you subtweet TJ because you haven't realeased the fight footage yet.,946880256606195713,EvanShanks,Cut toxic people out of your life AT ALL COSTS. You want to succeed? Flee from the negative people.,904538226945228801
7,Cromulentwords,@FINALLEVEL Is this aimed at me? I hope this isn't a subtweet. Gonna be real pissed if this is about me.,946875198262743040,FINALLEVEL,Daily Game: Don’t get lost down a 'Twitter Rabbit Hole' arguing with a DumbFuck Troll…. Keep it moovin.,946874773761433600
8,ItsTaylorMartin,@kevindietmeyer Is this a subtweet or something I CANT HANDLE THIS,946869591325773825,kevindietmeyer,Life is 10% what happens to you and 90% how you react to it- C. Swindoll,946823578015666176
9,swozzz,@ash_harrison16 Is this a subtweet about me?,946868395777187840,ash_harrison16,I hate the person I am when I'm tired. She's grumpy. She's emotional. She's dangerous.,946817685148516352
10,_WEEZYTaughtMe_,@TheWittleDemon U just gon subtweet her like this??,946864925569413120,TheWittleDemon,Broke people can’t make the rules Lisa 🙄. Silly rabbit tricks are for kids.,946860011531198464
11,KingZackG,@WilliamReardon2 Don’t subtweet me,946863234660913154,WilliamReardon2,"Only managed to lose one friend in 2017, so I’ll call that a win.",946547273453973504
12,radioprotector,@CodyMelcherEsq is this a subtweet about my pizza hottke,946857603254112256,CodyMelcherEsq,In 2018 I'm only paying attention to cold takes.,946856112476782593
13,Zumu96,@Danyal264 I feel like this is subtweet,946851887923519489,Danyal264,How do some people complain allllll the time,946819975771279360
14,ThotCrusher,@FBITrap @drybones_5 is this a subtweet,946849682424295424,drybones_5,tyr attracts the most autistic homos,946676985455095809
15,_EazyEz,@theravenmonroe @ me with ur chest don’t subtweet me 😂😂😂😂😂😂,946848578118569985,theravenmonroe,"Like... he's only repeating ashy rhetoric, and like, I already know your opinion, binch, fuck off...",946848438519549953
16,Sajjaja,@boycotthumans You just create a new Twitter account and subtweet yourself.,946845357270384640,boycotthumans,i’m so tired of having an identity. where do i sign up to be a nameless faceless entity,946841643671572483
17,nunyerbeezwax,@apepsibath don't subtweet me,946845348940496896,apepsibath,"(extremely ""huge dork who is only cool on twitter"" voice) I hate nerds",945540024128491520
18,DubbzBear,@unaestheticdad Don’t subtweet me,946843876089835522,unaestheticdad,good morning I ate $15 worth of starbucjs food for free it was awful,946810212580843522
19,StevenX_DFA,"@lynnmercereau @robinoilers It was a pretty strong subtweet of Mark Spector, gotta give him full marks for creativity",946842553059393536,robinoilers,I swear the Eberle cyber bullying commercial is about Oilers twitter,946841188748877824
20,KAYSWANK__,@kierstingill17 So you gone subtweet yo own best friend like that?,946841756930330624,kierstingill17,"Y'all a ""virgin"" in 2018 till you get back on campus so enjoy it while it last",946654918110253056
21,WaterfallSMDH,@ThisIsRyanLewis Way to subtweet grandma Ryan,946837462294388737,ThisIsRyanLewis,I just hate gifts with glitter. Like why do people send anything glitter related?,946207649300992001
22,SiggonKristov,@sovietfangirI Don’t subtweet Wes like that.,946836710167543808,sovietfangirI,marxist leninist online &amp; a social democrat on the streets,946836095119056896
23,dannysoloo_,@Marviannn Def gotta subtweet for niggas like you bro 😂,946836021051842560,Marviannn,"NIGGAS IFFY, UH, BLICKY GOT THE STIFFY, UH",946816799374487554
24,Negr0Jenkins,@erika_straz Just because of this I'm going to go subtweet people and start twitter fights,946835889308741633,erika_straz,People who start twitter fights are literal trash,946810023048564736
25,JonDougherty,@jdventetuolo Shouldnt be allowed to subtweet your brother like that,946832912795820034,jdventetuolo,Kids fucked around with juuls &amp; got addicted to nic and now their juulin a pack of cigs a day,946818185470279680
26,_uPrince,@Enza_Mags Rather a nigga dabs than subtweet,946830430229155840,Enza_Mags,"Guys, please, if you fuck our gfs/ex’s, PLEASE don’t give us dab in the club like all is good",943178865484189697
27,keeton__l,@rainnwilson Ohhh a spicy subtweet. I like it. 😏,946829704006336512,rainnwilson,Does everyone here understand the difference between “weather” and “climate”?,946803797791096832
28,JMaxey97,@__anniejones__ @King_Kwame__ nah you dumb ass don’t try to be slick and use the @ button next time you wanna subtweet some dumb shit,946827811796537351,__anniejones__,When you're graduated and can't get girls in high school so instead you talk shit about them🤷🏼‍♀️😂😂,946578051462254594
29,dieworkwear,@andrew3sixteen Please don't subtweet people. cc'ing @robertgeller,946827350599073793,andrew3sixteen,"Just saw Robert Geller in line at the IKEA food court in Hicksville, NY waiting to cop some Swedish meatballs.",946825076372070401
30,ItsBrendaBanks,"@RainbowFloof why u gotta subtweet me like this

AKKI WON'T EAT HUMMUS!!!!!!!! TELL YOUR FRIENDS",946825867593953280,RainbowFloof,If the kind of beans you're trying to feed me ain't fursuit paw beans then g 👏 t 👏 f 👏o 👏 🐾🐾,946675719807094784
31,applextree,@MustafaAliWWE Is this a subtweet to @DrewGulak ?,946825744600223746,MustafaAliWWE,You've gone right when you realize when you do wrong.,946825445579902976
32,Abbey_Bender,@FCardamenis lol this appeared right above what I assume inspired your subtweet!,946822871556476928,FCardamenis,"Literally everyone I follow tweets ""INHERENT VICE is a masterpiece, why doesn't anybody else realize this?"" once a day.",946821471728308225
